	KB10	KB11	KB12	KB13	KB14	KB15	KB16
ENSMUSG00000090025	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	1	0	0	0
ENSMUSG00000051951	529	580	716	166	902	467	600
ENSMUSG00000089699	0	1	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0
ENSMUSG00000025900	1	2	1	0	1	1	0
ENSMUSG00000025902	17	12	22	7	40	21	32
ENSMUSG00000096126	0	1	0	0	1	0	1
ENSMUSG00000098104	9	18	15	4	22	11	12
ENSMUSG00000088000	0	0	0	0	0	0	0
ENSMUSG00000033845	333	339	447	77	674	230	408
ENSMUSG00000025903	491	444	645	122	921	299	533
ENSMUSG00000033813	882	1014	1332	235	1934	688	1066
ENSMUSG00000062588	81	70	155	19	209	54	110
ENSMUSG00000002459	46	69	80	32	121	60	54
ENSMUSG00000091305	2	1	0	0	1	1	0
ENSMUSG00000085623	0	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0	0
ENSMUSG00000033793	2353	2359	3336	582	4450	1453	2170
ENSMUSG00000025905	159	161	191	61	297	133	184
ENSMUSG00000093015	0	0	0	0	0	0	0
ENSMUSG00000033774	11	8	10	1	9	5	12
ENSMUSG00000025907	2344	2498	3350	675	4418	1684	2279
ENSMUSG00000090031	11	20	17	9	34	13	23
ENSMUSG00000073741	0	1	0	0	0	0	0
ENSMUSG00000087247	0	0	1	0	0	0	0
ENSMUSG00000033740	610	719	863	237	1297	564	722
ENSMUSG00000051285	2115	2311	3158	580	4396	1639	2487
ENSMUSG00000098201	0	0	1	0	1	0	2
ENSMUSG00000048538	71	83	124	21	148	49	76
ENSMUSG00000077244	0	0	0	0	0	0	0
ENSMUSG00000097797	3	2	3	1	1	1	0
ENSMUSG00000025909	624	648	933	198	1037	472	556
ENSMUSG00000086235	3	7	14	3	12	7	6
ENSMUSG00000093970	0	0	0	0	0	0	0
ENSMUSG00000084353	4	8	10	0	10	0	10
ENSMUSG00000076135	43	66	118	17	118	38	125
ENSMUSG00000086195	0	0	1	0	0	0	0
ENSMUSG00000066693	22	33	53	10	40	21	28
ENSMUSG00000065625	0	0	0	0	0	0	0
ENSMUSG00000061024	162	136	244	73	338	154	212
ENSMUSG00000025911	229	235	349	72	440	159	231
ENSMUSG00000079671	8	8	8	2	22	9	9
ENSMUSG00000081441	13	11	14	6	14	11	11
ENSMUSG00000067879	1084	987	1365	202	1809	577	905
ENSMUSG00000099827	0	0	0	0	0	0	0
ENSMUSG00000025912	211	206	309	40	367	128	192
ENSMUSG00000045210	1660	1909	2383	627	2594	1205	1813
ENSMUSG00000097893	5	3	6	0	2	1	4
ENSMUSG00000025915	298	335	529	129	632	292	409
ENSMUSG00000046334	2	0	0	0	1	1	1
ENSMUSG00000088916	0	0	0	0	0	0	0
ENSMUSG00000046101	14	14	13	4	22	15	15
ENSMUSG00000098234	74	86	125	20	160	49	94
ENSMUSG00000093178	2	2	5	1	6	2	3
ENSMUSG00000099032	0	0	3	0	4	1	1
ENSMUSG00000025916	3	3	4	0	6	2	4
ENSMUSG00000087199	0	0	0	0	0	0	0
ENSMUSG00000095780	0	0	0	0	0	0	0
ENSMUSG00000025917	607	709	1017	218	1207	489	750
ENSMUSG00000056763	515	536	741	275	1013	555	663
ENSMUSG00000067851	1943	2289	2722	774	3129	1728	2063
ENSMUSG00000088153	0	0	0	0	0	0	0
ENSMUSG00000042501	8	1	6	1	11	2	6
ENSMUSG00000083422	5	8	6	0	13	1	3
ENSMUSG00000094979	0	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000100212	54	56	98	18	100	21	35
ENSMUSG00000100648	0	0	0	0	0	0	0
ENSMUSG00000088585	0	0	0	0	0	0	0
ENSMUSG00000048960	1663	1863	2423	485	3134	1220	1914
ENSMUSG00000077318	0	0	0	0	0	0	0
ENSMUSG00000101827	0	0	0	0	0	0	0
ENSMUSG00000057715	885	986	1301	229	1644	551	827
ENSMUSG00000099845	0	0	0	0	0	0	0
ENSMUSG00000101610	7	9	29	3	7	5	5
ENSMUSG00000093864	0	0	0	0	1	0	1
ENSMUSG00000098555	0	0	0	0	0	0	0
ENSMUSG00000097628	0	1	2	0	3	1	2
ENSMUSG00000098163	0	0	0	0	0	0	0
ENSMUSG00000097171	0	1	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0
