position	real data_incl	significant_incl	real native se_incl	0.005%_incl	mean_incl	0.995%_incl	real data_excl	significant_excl	real native se_excl	0.005%_excl	mean_excl	0.995%_excl	min	max
0	-0.000180100774597	0	-0.000155986112163	-0.000310417675635	-0.000158438792389	1.92771598435e-06	-0.000308882938231	1	-0.000155986112163	-0.000289253226597	-0.000158124198332	-2.2998136149e-05	-0.000310417675635	1.92771598435e-06
1	-0.000203518870024	0	-0.000153724472832	-0.000317376687649	-0.000155978073233	-3.10314105061e-06	-0.000322010130086	1	-0.000153724472832	-0.000284320519575	-0.000154811342782	-1.41286902767e-05	-0.000317376687649	-3.10314105061e-06
2	-0.000210035644956	0	-0.000149609973086	-0.000306900173719	-0.000152121726719	3.01964557853e-06	-0.000316291873061	1	-0.000149609973086	-0.000288576912735	-0.000150692350323	-7.28547425605e-06	-0.000306900173719	3.01964557853e-06
3	-0.000200758223907	0	-0.000152647609419	-0.000306452032072	-0.000154815810438	4.36817770081e-06	-0.000317942082088	1	-0.000152647609419	-0.000285311451703	-0.000153684912993	-1.88467953169e-06	-0.000306452032072	4.36817770081e-06
4	-0.000193179664065	0	-0.000158223865517	-0.000316077216916	-0.000159633023165	3.45357396791e-06	-0.000332634452197	1	-0.000158223865517	-0.000294761021867	-0.000156535714005	-6.15520122304e-06	-0.000316077216916	3.45357396791e-06
5	-0.000178197223999	0	-0.000156516372051	-0.000312290769425	-0.000157269441966	7.67262914032e-06	-0.000336032097208	1	-0.000156516372051	-0.000288677958239	-0.000155621067046	-2.49189516957e-05	-0.000312290769425	7.67262914032e-06
6	-0.000173696243806	0	-0.000162166694136	-0.000313704570704	-0.000162259097626	-5.52476810045e-06	-0.000334473928549	1	-0.000162166694136	-0.000292301157671	-0.000163564265282	-2.36575564382e-05	-0.000313704570704	-5.52476810045e-06
7	-0.00018316681168	0	-0.000163404835243	-0.000317567432018	-0.00016524717348	-1.50058314154e-05	-0.000338578615348	1	-0.000163404835243	-0.000288136792433	-0.000164778919811	-2.40300862391e-05	-0.000317567432018	-1.50058314154e-05
8	-0.000175010698639	0	-0.000161119653206	-0.000310473928485	-0.000164172127497	-2.99337665608e-06	-0.000346072413054	1	-0.000161119653206	-0.000289545102544	-0.000163013635214	-2.09004130558e-05	-0.000310473928485	-2.99337665608e-06
9	-0.000161956907629	0	-0.000163359257102	-0.000332077567057	-0.000164854994047	-6.92123046933e-06	-0.000347320999379	1	-0.000163359257102	-0.000298229144144	-0.000162541644047	-2.63187375283e-05	-0.000332077567057	-6.92123046933e-06
10	-0.000192237000756	0	-0.000166522305462	-0.00034208799785	-0.000169666344557	-1.18653221101e-05	-0.000355416717872	1	-0.000166522305462	-0.000311470476403	-0.000166096207025	-3.26248336863e-05	-0.00034208799785	-1.18653221101e-05
11	-0.000182396303442	0	-0.000171787059531	-0.000341798163948	-0.000174384923357	-1.45619878438e-05	-0.000365046282426	1	-0.000171787059531	-0.000313852299593	-0.000171893010037	-3.52096957646e-05	-0.000341798163948	-1.45619878438e-05
12	-0.000197771858171	0	-0.000172508017655	-0.00034366616743	-0.000174571066649	-7.5919802195e-06	-0.000362709712624	1	-0.000172508017655	-0.000312304688571	-0.000172812291628	-3.34207978084e-05	-0.00034366616743	-7.5919802195e-06
13	-0.000168383265716	0	-0.000179193310511	-0.000349635975418	-0.000181632536307	-2.16319705944e-05	-0.000376934439864	1	-0.000179193310511	-0.000326002926997	-0.000178992182009	-3.43285633834e-05	-0.000349635975418	-2.16319705944e-05
14	-0.000179084409216	0	-0.000175586406735	-0.000350757070114	-0.000179144639616	-2.64886463691e-05	-0.000389638491819	1	-0.000175586406735	-0.000331127955278	-0.00017456531507	-4.03061506724e-05	-0.000350757070114	-2.64886463691e-05
15	-0.00019786520233	0	-0.000175503034381	-0.000351827416834	-0.000178895037659	-2.11230653571e-05	-0.000369205525527	1	-0.000175503034381	-0.00033233188001	-0.00017541806585	-4.17105134799e-05	-0.000351827416834	-2.11230653571e-05
