position	real data_incl	significant_incl	real native se_incl	0.005%_incl	mean_incl	0.995%_incl	real data_excl	significant_excl	real native se_excl	0.005%_excl	mean_excl	0.995%_excl	min	max
0	6.12439877098e-05	1	0.000156243669281	7.35512028417e-05	0.000159517164011	0.000255420439041	8.70923262679e-05	0	0.000156243669281	3.73245537035e-05	0.00015492735256	0.000283325261863	3.73245537035e-05	0.000283325261863
1	6.06381440295e-05	1	0.000153298483089	6.72768241157e-05	0.000155960819061	0.000251466192594	8.10356973865e-05	0	0.000153298483089	3.28680449111e-05	0.000153277629623	0.000284836757456	3.28680449111e-05	0.000284836757456
2	5.52894359358e-05	1	0.000154824669189	6.14415918175e-05	0.000157842187532	0.000256094656079	8.4540317482e-05	0	0.000154824669189	3.38298687022e-05	0.000154640541465	0.000296272669524	3.38298687022e-05	0.000296272669524
3	5.55596187511e-05	1	0.000154091678651	6.74821187183e-05	0.00015727356451	0.000255964017863	7.7414485877e-05	0	0.000154091678651	3.4788839348e-05	0.000154807149734	0.000300891439111	3.4788839348e-05	0.000300891439111
4	6.39557877181e-05	0	0.00015125661365	6.14679658126e-05	0.00015351689534	0.000245380287924	7.33796885723e-05	0	0.00015125661365	3.40613817867e-05	0.000151619222985	0.00030023076707	3.40613817867e-05	0.00030023076707
5	6.33119667279e-05	0	0.000147237068502	6.05531164414e-05	0.000150448493222	0.00023500636629	9.47778001035e-05	0	0.000147237068502	2.80213462768e-05	0.000149450098822	0.000299593848814	2.80213462768e-05	0.000299593848814
6	5.59594248187e-05	1	0.000145698235316	5.94719253393e-05	0.000147639361731	0.000237848268536	0.00011182379032	0	0.000145698235316	3.42443198823e-05	0.000143439493002	0.000279671545048	3.42443198823e-05	0.000279671545048
7	4.94881310449e-05	1	0.000146633511907	5.45195888579e-05	0.000148597351926	0.000235217166559	0.000104438268401	0	0.000146633511907	2.72743258795e-05	0.000146470038354	0.00027932821727	2.72743258795e-05	0.00027932821727
8	3.86162221882e-05	1	0.000142055246685	4.87168764233e-05	0.000143629896844	0.000234245910472	9.69437020229e-05	0	0.000142055246685	2.64115586022e-05	0.000141891537541	0.000278260173631	2.64115586022e-05	0.000278260173631
9	4.66893400645e-05	1	0.000142918630259	5.24518974918e-05	0.000145361563367	0.000236529945691	0.000109260746511	0	0.000142918630259	2.65454612879e-05	0.000143567858563	0.000275541528358	2.65454612879e-05	0.000275541528358
10	4.14328966869e-05	1	0.000141562174357	4.50103075924e-05	0.00014474256714	0.000240610086057	9.98084201824e-05	0	0.000141562174357	2.18583404188e-05	0.000142569891567	0.000271638932994	2.18583404188e-05	0.000271638932994
11	4.39821188099e-05	1	0.000143273443613	4.89271624456e-05	0.000145983116142	0.000247515385871	0.000104449555822	0	0.000143273443613	2.59869804519e-05	0.000144247697195	0.000275498500541	2.59869804519e-05	0.000275498500541
12	3.31832695212e-05	1	0.000145541152316	5.30663657547e-05	0.000148458385953	0.000243166518093	0.000100091438944	0	0.000145541152316	2.71120488114e-05	0.000146955083066	0.000284548019904	2.71120488114e-05	0.000284548019904
