position	real data_incl	significant_incl	real native se_incl	0.005%_incl	mean_incl	0.995%_incl	real data_excl	significant_excl	real native se_excl	0.005%_excl	mean_excl	0.995%_excl	min	max
0	-0.000450665340911	0	-0.000449936261511	-0.000562931716243	-0.000450502262559	-0.000343559655661	-0.000467472605339	0	-0.000449936261511	-0.000606137085771	-0.000451939465643	-0.000309155178419	-0.000606137085771	-0.000309155178419
1	-0.000461115625762	0	-0.000450823260909	-0.000569229204394	-0.000452317177523	-0.000343242516352	-0.000475739077993	0	-0.000450823260909	-0.000601833700029	-0.000453232112239	-0.000315219548192	-0.000601833700029	-0.000315219548192
2	-0.00046320837842	0	-0.000453800143311	-0.000574280070798	-0.000455738234104	-0.000354380607582	-0.00047878188697	0	-0.000453800143311	-0.000604702995229	-0.000456059339206	-0.000318266511591	-0.000604702995229	-0.000318266511591
3	-0.000469715849254	0	-0.000456160646547	-0.00057811302149	-0.000457748632298	-0.000360640320034	-0.000484666080344	0	-0.000456160646547	-0.000602681127042	-0.000456686745806	-0.000319315804744	-0.000602681127042	-0.000319315804744
4	-0.000477045800564	0	-0.00045763854708	-0.000567803868751	-0.000459528250168	-0.000354530440984	-0.000484124946674	0	-0.00045763854708	-0.000610746667679	-0.000457574639878	-0.000323237248155	-0.000610746667679	-0.000323237248155
5	-0.000484750209922	0	-0.000456939177621	-0.000563510486054	-0.000458932273254	-0.000352799453146	-0.000485124639389	0	-0.000456939177621	-0.000606484354798	-0.000457438161775	-0.000328580316903	-0.000606484354798	-0.000328580316903
6	-0.000493271785157	0	-0.000461200260859	-0.000572091008304	-0.00046324253194	-0.000349800348864	-0.000477655040547	0	-0.000461200260859	-0.000616322640677	-0.000460935461405	-0.000335113430541	-0.000616322640677	-0.000335113430541
7	-0.000499351473382	0	-0.000469750835362	-0.000576544035573	-0.000472155870838	-0.000367948819464	-0.000498561286516	0	-0.000469750835362	-0.000634930822561	-0.000469983009416	-0.000338960741544	-0.000634930822561	-0.000338960741544
8	-0.000495762825129	0	-0.000472031070563	-0.000580448910382	-0.000474509607304	-0.000373879230161	-0.000465322383473	0	-0.000472031070563	-0.000628920405354	-0.000472870353397	-0.000340318347663	-0.000628920405354	-0.000340318347663
9	-0.000496774100471	0	-0.000475702888929	-0.000585013943279	-0.000477060120389	-0.000379975585209	-0.000477879769102	0	-0.000475702888929	-0.000636108163711	-0.000476392454736	-0.000348389792301	-0.000636108163711	-0.000348389792301
10	-0.000498618926384	0	-0.000476802388258	-0.000589613490097	-0.000477697511183	-0.000381589090557	-0.0004982504236	0	-0.000476802388258	-0.000631846486471	-0.00047814934189	-0.000344544264359	-0.000631846486471	-0.000344544264359
11	-0.000501945149129	0	-0.000476189720962	-0.000592667918629	-0.00047811396639	-0.000384162283367	-0.000502660896974	0	-0.000476189720962	-0.000632896758613	-0.000478662398123	-0.000344796536207	-0.000632896758613	-0.000344796536207
12	-0.000495359283898	0	-0.00047969688718	-0.000587773284848	-0.000481436379128	-0.000384306309687	-0.000512358114059	0	-0.00047969688718	-0.000633857936649	-0.000481522891721	-0.00033149782225	-0.000633857936649	-0.00033149782225
13	-0.000491263234394	0	-0.000475722818972	-0.000583972090646	-0.000477404699718	-0.000383089721509	-0.000512880607171	0	-0.000475722818972	-0.000626827695067	-0.000475760660384	-0.000332196121776	-0.000626827695067	-0.000332196121776
14	-0.000490071236587	0	-0.000479235593217	-0.000584690278625	-0.000482223446594	-0.000384602740691	-0.000520180789715	0	-0.000479235593217	-0.000630704188008	-0.000480325575152	-0.000345342885321	-0.000630704188008	-0.000345342885321
15	-0.000496321433717	0	-0.000486600315581	-0.000597539126458	-0.000489055425008	-0.000391337552006	-0.000507136728263	0	-0.000486600315581	-0.000647725769534	-0.000486063971343	-0.000351068036437	-0.000647725769534	-0.000351068036437
16	-0.000506679383709	0	-0.000486293424466	-0.000591737705563	-0.00048818055156	-0.00039116995135	-0.000506139533544	0	-0.000486293424466	-0.000637774713654	-0.000486219044215	-0.00033937836962	-0.000637774713654	-0.00033937836962
17	-0.000507897207544	0	-0.000490769241459	-0.000608400270196	-0.000493355310332	-0.00039302573535	-0.000509061505244	0	-0.000490769241459	-0.00064204778014	-0.000492063697397	-0.00034887068859	-0.00064204778014	-0.00034887068859
18	-0.000509571769296	0	-0.000489586706835	-0.000604215039795	-0.000492320946172	-0.000388136248211	-0.000518758468722	0	-0.000489586706835	-0.000643571370646	-0.000490070724472	-0.000351314084553	-0.000643571370646	-0.000351314084553
19	-0.000506863645796	0	-0.000495923174803	-0.000603164427106	-0.000499095688166	-0.000397648930611	-0.000520790518154	0	-0.000495923174803	-0.000646624066237	-0.000495623207168	-0.00036446397921	-0.000646624066237	-0.00036446397921
